,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19
58,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
59,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
60,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
61,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
62,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0
63,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
64,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
65,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
66,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
67,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1
68,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
69,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
70,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
73,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
74,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1
75,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
76,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
77,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
78,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
79,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
80,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
81,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0
82,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
83,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
84,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
85,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
86,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1
87,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
88,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
89,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
92,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
93,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1
94,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
95,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
96,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
97,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
98,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
99,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
100,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0
101,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
102,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
103,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
104,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
105,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1
106,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
107,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
108,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
111,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
112,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1
113,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
114,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
115,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
116,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
117,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
118,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
119,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0
120,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
121,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
122,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
123,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
124,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1
125,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
126,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
127,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
129,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
130,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
131,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1
132,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
133,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
134,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
135,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
136,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
137,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
138,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0
139,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
140,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
141,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
142,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
143,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1
144,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
145,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
146,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
147,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
149,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
150,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1
151,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
152,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
153,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
154,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
155,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
156,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
157,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0
158,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
159,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
160,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
161,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
162,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1
163,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
164,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
165,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
167,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
168,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
169,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1
170,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
171,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
172,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
173,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
174,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
175,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
176,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0
177,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
178,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
179,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
180,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
181,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1
182,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
183,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
184,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
185,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
186,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
187,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
188,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1
189,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
190,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
191,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
192,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
193,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
194,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
195,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0
196,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
197,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
198,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
199,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
200,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1
201,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
202,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
203,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
204,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
205,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
206,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
207,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1
208,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
209,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
210,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
211,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
212,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
213,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
214,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0
215,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
216,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
217,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
218,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
219,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1
220,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
221,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
222,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
224,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
225,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
226,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1
227,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
228,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
229,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
230,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
231,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
232,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
233,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0
234,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
235,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
236,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
237,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
238,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1
239,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
240,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
241,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
244,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
245,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1
246,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
247,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
248,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
249,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
250,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
251,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
252,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0
253,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
254,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
255,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
256,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
257,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1
258,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
259,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
260,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
261,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
262,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
263,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
264,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1
265,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
266,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
267,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
268,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
269,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
270,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
271,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0
272,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
273,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
274,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
275,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
276,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1
277,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
278,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
279,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
280,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
281,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
282,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
283,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1
284,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
285,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
286,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
287,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
288,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
289,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
290,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0
291,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
292,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
293,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
294,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
295,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1
296,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
297,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
298,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
299,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
300,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
301,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
302,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1
303,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
304,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
305,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
306,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
307,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
308,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
309,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0
310,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
311,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
312,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
313,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
314,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1
315,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
316,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
317,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
318,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
319,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
320,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
321,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1
322,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
323,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
324,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
325,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
326,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
327,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
328,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0
329,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
330,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
331,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
332,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
333,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1
334,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
335,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
336,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
337,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
338,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
339,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
340,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1
341,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
342,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
343,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
344,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
345,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
